"filename", "language", "C++", "CMake", "Markdown", "Batch", "C", "F#", "Makefile", "comment", "blank", "total"
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_world_screen.c", "C", 0, 0, 0, 0, 35, 0, 0, 32, 21, 88
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/msf_gif.h", "C++", 398, 0, 0, 0, 0, 0, 0, 225, 95, 718
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/raygui.h", "C++", 3946, 0, 0, 0, 0, 0, 0, 1228, 878, 6052
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/resources/LICENSE.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/resources/shaders/glsl100/distortion.fs", "F#", 0, 0, 0, 0, 0, 38, 0, 6, 9, 53
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/resources/shaders/glsl120/distortion.fs", "F#", 0, 0, 0, 0, 0, 37, 0, 6, 8, 51
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/resources/shaders/glsl330/distortion.fs", "F#", 0, 0, 0, 0, 0, 38, 0, 7, 9, 54
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/examples_template.c", "C", 0, 0, 0, 0, 19, 0, 0, 92, 17, 128
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_animation_blend_custom.c", "C", 0, 0, 0, 0, 185, 0, 0, 90, 57, 332
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_animation_blending.c", "C", 0, 0, 0, 0, 169, 0, 0, 76, 48, 293
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_animation_gpu_skinning.c", "C", 0, 0, 0, 0, 55, 0, 0, 47, 27, 129
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_animation_timing.c", "C", 0, 0, 0, 0, 63, 0, 0, 40, 31, 134
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_basic_voxel.c", "C", 0, 0, 0, 0, 96, 0, 0, 44, 30, 170
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_billboard_rendering.c", "C", 0, 0, 0, 0, 52, 0, 0, 39, 25, 116
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_bone_socket.c", "C", 0, 0, 0, 0, 96, 0, 0, 48, 35, 179
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_box_collisions.c", "C", 0, 0, 0, 0, 63, 0, 0, 37, 28, 128
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_cubicmap_rendering.c", "C", 0, 0, 0, 0, 44, 0, 0, 32, 26, 102
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/models/models_decals.c", "C", 0, 0, 0, 0, 393, 0, 0, 100, 113, 606
